100V/3A/40W	-14	1	14	33	47	62	76	90	102	117	131
1.00E-07	0.45715332	0.415649414	0.375366211	0.323486328	0.281982422	0.236816406	0.195922852	0.15625	0.119018555	0.075683594	0.043334961
1.21E-07	0.461425781	0.420532227	0.380859375	0.328979492	0.288085938	0.242919922	0.202026367	0.162353516	0.12512207	0.081176758	0.048217773
1.47E-07	0.466918945	0.425415039	0.385131836	0.333251953	0.29296875	0.248413086	0.208129883	0.168457031	0.131835938	0.087280273	0.053710938
1.78E-07	0.471191406	0.430297852	0.390625	0.338745117	0.298461914	0.25390625	0.213012695	0.173339844	0.137329102	0.093383789	0.059814453
2.15E-07	0.476074219	0.435180664	0.395507813	0.344238281	0.303955078	0.259399414	0.219726563	0.179443359	0.144042969	0.099487305	0.065307617
2.61E-07	0.480957031	0.439453125	0.401000977	0.349121094	0.309448242	0.264892578	0.225219727	0.185546875	0.150146484	0.10559082	0.071411133
3.16E-07	0.485229492	0.444946289	0.405273438	0.353393555	0.315551758	0.270996094	0.231323242	0.191650391	0.15625	0.112304688	0.078125
3.83E-07	0.490112305	0.44921875	0.41015625	0.358886719	0.321044922	0.276489258	0.237426758	0.197753906	0.162963867	0.118408203	0.083618164
4.64E-07	0.494995117	0.454711914	0.415039063	0.364379883	0.325927734	0.282592773	0.243530273	0.203857422	0.168457031	0.12512207	0.090332031
5.62E-07	0.499267578	0.458984375	0.420532227	0.369873047	0.331420898	0.288085938	0.249023438	0.209960938	0.175170898	0.131225586	0.097045898
6.81E-07	0.503540039	0.463867188	0.424804688	0.375366211	0.336914063	0.293579102	0.255126953	0.216064453	0.180053711	0.137939453	0.103149414
8.25E-07	0.509033203	0.469360352	0.430297852	0.380859375	0.342407227	0.299682617	0.261230469	0.222167969	0.186767578	0.14465332	0.109863281
1.00E-06	0.513305664	0.473632813	0.435180664	0.385131836	0.346679688	0.305175781	0.266113281	0.228271484	0.192260742	0.150756836	0.116577148
1.21E-06	0.517578125	0.478515625	0.439453125	0.390625	0.352172852	0.310668945	0.272216797	0.233764648	0.198974609	0.157470703	0.123291016
1.47E-06	0.521850586	0.483398438	0.444946289	0.395507813	0.357666016	0.316772461	0.277709961	0.239868164	0.205078125	0.16418457	0.130004883
1.78E-06	0.526733398	0.48828125	0.44921875	0.401611328	0.36315918	0.322265625	0.284423828	0.24597168	0.211181641	0.170288086	0.13671875
2.15E-06	0.531005859	0.492553711	0.454711914	0.405883789	0.369262695	0.328369141	0.289916992	0.252075195	0.217895508	0.176391602	0.143432617
2.61E-06	0.53527832	0.497436523	0.458984375	0.411987305	0.374145508	0.333251953	0.296020508	0.258178711	0.223999023	0.182495117	0.150146484
3.16E-06	0.540771484	0.502319336	0.464477539	0.416870117	0.379638672	0.339355469	0.302124023	0.264282227	0.230102539	0.189208984	0.156860352
3.83E-06	0.544433594	0.507202148	0.469360352	0.422363281	0.385131836	0.344848633	0.308227539	0.270385742	0.236206055	0.195922852	0.163574219
4.64E-06	0.549316406	0.511474609	0.474243164	0.427856445	0.390625	0.350341797	0.314331055	0.276489258	0.24230957	0.202026367	0.169677734
5.62E-06	0.554199219	0.516357422	0.479125977	0.432739258	0.396118164	0.355834961	0.319213867	0.282592773	0.249023438	0.208740234	0.176391602
6.81E-06	0.557861328	0.521240234	0.484008789	0.43762207	0.40222168	0.361328125	0.325317383	0.288696289	0.255126953	0.215454102	0.182495117
8.25E-06	0.562744141	0.524902344	0.489501953	0.443115234	0.406494141	0.367431641	0.331420898	0.294799805	0.261230469	0.221557617	0.189208984
1.00E-05	0.567626953	0.530395508	0.493774414	0.447998047	0.411987305	0.372314453	0.337524414	0.300292969	0.266723633	0.228271484	0.196533203
1.21E-05	0.571899414	0.534667969	0.498657227	0.452880859	0.417480469	0.378417969	0.343017578	0.307006836	0.2734375	0.233764648	0.202636719
1.47E-05	0.576171875	0.540161133	0.503540039	0.458374023	0.423583984	0.383911133	0.348510742	0.3125	0.279541016	0.241699219	0.209960938
1.78E-05	0.581054688	0.544433594	0.508422852	0.463867188	0.429077148	0.390014648	0.353393555	0.318603516	0.285644531	0.247192383	0.216674805
2.15E-05	0.585327148	0.549316406	0.513305664	0.469360352	0.434570313	0.395507813	0.35949707	0.324707031	0.292358398	0.25390625	0.223388672
2.61E-05	0.590209961	0.554199219	0.517578125	0.474243164	0.438842773	0.401611328	0.365600586	0.330810547	0.297851563	0.261230469	0.230102539
3.16E-05	0.595092773	0.557861328	0.522460938	0.479125977	0.444946289	0.406494141	0.371704102	0.337524414	0.305175781	0.266723633	0.236816406
3.83E-05	0.598754883	0.563354492	0.52734375	0.484619141	0.450439453	0.413818359	0.377197266	0.343017578	0.310668945	0.2734375	0.243530273
4.64E-05	0.603637695	0.567626953	0.531616211	0.490112305	0.455932617	0.41809082	0.383300781	0.349121094	0.317382813	0.279541016	0.250854492
5.62E-05	0.608520508	0.573120117	0.536499023	0.494995117	0.461425781	0.424194336	0.389404297	0.354614258	0.323486328	0.286254883	0.257568359
6.81E-05	0.612182617	0.576782227	0.541992188	0.500488281	0.466918945	0.4296875	0.395507813	0.360717773	0.329589844	0.29296875	0.264282227
8.25E-05	0.617675781	0.582275391	0.546875	0.505371094	0.471801758	0.435791016	0.401611328	0.366210938	0.336303711	0.299682617	0.270996094
0.0001	0.621948242	0.587158203	0.551757813	0.510864258	0.477905273	0.44128418	0.407714844	0.372314453	0.342407227	0.306396484	0.277709961
0.000121153	0.626831055	0.591430664	0.556640625	0.51574707	0.482788086	0.447387695	0.413818359	0.37902832	0.347900391	0.313110352	0.28503418
